*Generic
Reference Type	Author	Year	Title	Secondary Title	Place Published	Pages	Number	Publisher	Volume	Secondary Author	Custom 1
Journal	Lucien KF, Nkwelang G, Ejezie GC	2003	Health education strategy in the control of urinary schistosomiasis	Clin Lab Sci		137-141	3		16		CMR0010
Journal	Cho-Ngwa F, Amambua AN, Ambele MA and Titanji VP	2009	Evidence for the exacerbation of lymphedema of geochemical origin, podoconiosis, by onchocerciasis	J Infect Public Health		198-203	4		2		CMR0010LF
Journal	Moyou-Somo R, Tagni Zukam D, Kouamouo J, Enyong P, Ripert C	1987	An epidemiological and radilogical study of the vesical schistosomiasis foci of the Barombi lakes,Meme Division,Cameroon	Bull SocPathEx		813-825	5		80		CMR0011
Journal	Moyou-Somo R, Kouemeni LE, Ndjamen B, Ngogang J, Dongla R, Longang-Tchatchouang V, Hassimi M	2003	A new focus of Schistosoma mansoni in Yoro village, Mbam and Inoubou Division, Cameroon	Am J Trop Med Hyg		74-77	1		69		CMR0012
Journal	Ndamkou NC, Ratard RC	1992	Measure and analysis of urinary bilharziasis incidence levels in the village of Douloumi (Cameroon)	Bull Soc Pathol Exot		238-240	3		85		CMR0013
Journal	Ndamukong KJ, Ayuk MA, Dinga JS, Akenji TN, Ndiforchu VA, Titanji VP	2001	Prevalence and intensity of urinary schistosomiasis in primary school children of the Kotto Barombi Health Area, Cameroon	East Afr Med J		287-289	6		78		CMR0016
Journal	Ndenecho L, Ndamukong KJ, Matute MM	2002	Soil transmitted nematodes in children in Buea Health District of Cameroon	East Afr Med J		442-445	8		79		CMR0017
Journal	Njiokou F, Yimta Tsemo LC, Kuete T, Same Ekobo A	2004	Dynamics of intestinal schistosomiasis in Cameroon: evolution of transmission in the mixed zone of Nkolmebanga, Lekie	Med Trop (Mars)		351-354	4		64		CMR0018
Journal	Nkuo-Akenji TK, Chi PC, Cho JF, Ndamukong KK, Sumbele I	2006	Malaria and helminth co-infection in children living in a malaria endemic setting of mount Cameroon and predictors of anemia	J Parasitol		1191-1195	6		92		CMR0019
Journal	Raccurt CP, Lambert M-T, Mandji O, Bouloumie J, Ripert C	1987	Epidemiological survey of intestinal helminthiasis in Djohong(Adamawa,Cameroon)	Ent medet Parasitol		3-9			25		CMR0020
Journal	Ranque S, Chippaux JP, Garcia A, Boussinesq M	2001	Follow-up of Ascaris lumbricoides and Trichuris trichiura infections in children living in a community treated with ivermectin at 3-monthly intervals	Ann Trop Med Parasitol		389-393	4		95		CMR0021
Journal	Ratard RC, Greer GJ	1991	A new focus of Schistosoma haematobium/S. intercalatum hybrid in Cameroon	Am J Trop Med Hyg		332-338	3		45		CMR0022
Journal	Ripert C, Leugueun-Ngougbeou J, Same-Ekobo A	1982	An epidemiological study of intestinal bilharziasis and roundworm infections in Bafia (Cameroon)	Bull Soc Pathol Exot Filiales		55-61	1		75		CMR0024
Journal	Ripert C, Couprie B, Dabadie JP, Appriou M, Tribouley J, Same Ekobo A	1983	Epidemiologic study of intestinal helminthiasis in the valley of the Guerleo River (North Cameroon)	Bull Soc Pathol Exot Filiales		689-697	5		76		CMR0025
Journal	Robert CF, Bouvier S, Rougemont A	1989	Epidemiology of schistosomiasis in the riverine population of Lagdo Lake, northern Cameroon: mixed infections and ethnic factors	Trop Med Parasitol		153-158	2		40		CMR0026
Journal	Sama MT, Ratard RC	1994	Water contact and schistosomiasis infection in Kumba, south-western Cameroon	Ann Trop Med Parasitol		629-634	6		88		CMR0027
Journal	Sentilhes L, Carrie J	1982	Contribution a l'etude de l'efficacite et de la tolerance de l'albendazole dans le traitement des helminthiases intestinales	Medecine d'Afrique Noire							CMR0028
Journal	Tchuente LA, Southgate VR, Webster BL, De Bont J, Vercruysse J	2001	Impact of installation of a water pump on schistosomiasis transmission in a focus in Cameroon	Trans R Soc Trop Med Hyg		255-256	3		95		CMR0029
Journal	Tchuem Tchuente LA, Southgate VR, Njiokou F, Njine T, Kouemeni LE, Jourdane J	1997	The evolution of Schistosomiasis at Loum,Cameroon:replacement of Schistosoma intercalatum by S.haematobium through introgressive hybridization	Transactions of the royal society of tropical medicine and hygiene		664-665	6		91		CMR0030
Journal	Yelnik A, Issoufa H, Appriou M, Tribouley J, Gentilini M, Ripert C	1982	Epidemiologic study of S. haematobium bilharziasis in the rice belt of Yagoua (North Cameroon). I. Prevalence of infestation and evaluation of the parasitic load	Bull Soc Pathol Exot Filiales		62-71	1		75		CMR0032
Journal	Garba CMG, Mbofung CMF	2010	Relationship between malnutrition and parasitic infection among school children in the adamawa region of cameroon	Pakistan Journal of Nutrition		1094-1099	11		9		CMR0033
Journal	Massenet D, Inrombe J, Dawaye O, Abdoulaye Y, Portal JL, Boisier P, Tchuem Tchuente LA	2009	Schistosomiasis in the North region of Cameroon: unexplained decrease in prevalence among schoolchildren between 1986 and 2008-2009	Ann Trop Med Parasitol		745-750	8		103		CMR0034
Journal	Massenet D, Toukour A, Kamwa Ngassam RI, Djao R, Portal JL, Tchuem Tchuente LA	2011	Changes in the distribution of human schistosomiasis in far North Province, Cameroon, since 1986	Annals of Tropical Medicine and Parasitology		325-328	4		105		CMR0035
Journal	Fouamno Kamga HL, Shey Nsagha D, Suh Atanga MB, Longdoh Njunda A, Nguedia Assob JC, Nde Fon P, Akwi Fomumbod S	2011	The impact of health education on the prevalence of faecal-orally transmitted parasitic infections among school children in a rural community in Cameroon	Pan Afr Med J		38			8		CMR0036
Journal	Saotoing P, Vroumsia T, Njan AM, Tchuenguem FN, Messi J	2011	Epidemiological survey of schistosomiasis due to Schistosoma haematobium in some primary schools in the town of Maroua, far north region Cameroon	International Journal of Tropical Medicine		19-24	2		6		CMR0037
Personal Communication	Pion S	2014	Unpublished data								CMR0038
Journal	Njunda, A. L. Fon, S. G. Assob, J. C. Nsagha, D. S. Kwenti, T. D. Kwenti, T. E.	2015	Coinfection with malaria and intestinal parasites, and its association with anaemia in children in Cameroon	Infect Dis Poverty	""	""	43	""	4	""	CMR0045
Journal	De Clercq D, Henry MC, Kiyombo M, Hubert P	1985	Bilan d'un foyer de schistosomiase a Schistosoma mansoni au Mayombe, Republique de Zaire. / Survey of a schistosomiasis mansoni focus in Mayombe, Zaire	Annales de la Societe Belge de Medecine Tropicale		153-162	2		65		COD0001
Journal	De Clercq D	1987	La situation malacologique a Kinshasa et description d'un foyer autochtone de schistosomiase a Schistosoma intercalatum. / The malacological situation in Kinshasa and description of an autochtonous schistosomiasis intercalatum focus.	Annales de la Societe Belge de Medecine Tropicale		345-352			67		COD0002
Journal	Fain A, Wery M and Tilkin J	1969	[Human filariasis in the region of Central Cuvette (Democratic Congo Republic)]	Ann Soc Belges Med Trop Parasitol Mycol		629-648	6		49		COD0002LF
Journal	Gryseels B, Ngimbi NP	1983	Further observations on the urban Schistosoma mansoni focus in Kinshasa, Zaire	Annales de la Societe Belge de Medecine Tropicale		341-346	4		63		COD0003
Journal	Fain A, Elsen P, Wery M and Maertens	1974	Les filarioses humaines au Mayumbe et dans les regions limitrophes (RŽpublique du Zaire). Evaluation de la densite microfilarienne.	Ann Soc Belg MŽd Trop		May-34			54		COD0003LF
Journal	Gryseels B, Polderman AM, Gigase PL	1980	A Note on the Prevalence of Schistosoma-Haematobium and S-Mansoni in Kindu and Kasongo, Kivu Area, Zaire	Annales de la Societe Belge de Medecine Tropicale		313-316	3		60		COD0004
Journal	Gryseels B, Polderman AM	1987	The morbidity of schistosomiasis mansoni in Maniema (Zaire)	Trans R Soc Trop Med Hyg		202-209	2		81		COD0005
Journal	Muller G, Kayitare Murenzi J, Tulu R	1986	Prevalence de la schistosomiase a S. mansoni chez des enfants zairois et ougandais de la zone d'Aru, region du Haut Zaire. / Prevalence of schistosomiasis mansoni in Zairian and Ugandan children of the Aru region in upper Zaire	Annales de la Societe Belge de Medecine Tropicale		225-233	3		66		COD0006
Journal	Polderman AM, Manshande JP	1981	Failure of targeted mass treatment to control schistosomiasis	Lancet		27-28	8210		317		COD0007
Journal	Bakajika DK, Nigo MM, Lotsima JP, Masikini GA, Fischer K, Lloyd MM, Weil GJ and Fischer PU	2014	Filarial Antigenemia and Loa loa Night Blood Microfilaremia in an Area Without Bancroftian Filariasis in the Democratic Republic of Congo	Am J Trop Med Hyg							COD0007LF
Journal	Polderman AM, Mpamila K, Manshande JP, Bouwhuis Hoogerwerf ML	1985	Methodology and interpretation of parasitological surveillance of intestinal schistosomiasis in Maniema, Kivu Province, Zaire	Annales de la Societe Belge de Medecine Tropicale		243-249	3		65		COD0008
Journal	Polderman AM	1986	Schistosomiasis in a mining area: intersectoral implications	Tropical Medicine and Parasitology		195-199	2		37		COD0009
Journal	Tchuente LAT, Southgate VR, Vercruysse J, Kaukas A, Kane R, Mulumba MP, Pages JR, Jourdane J	1997	Epidemiological and genetic observations on human schistosomiasis in Kinshasa, Zaire	Transactions of the Royal Society of Tropical Medicine and Hygiene		263-269	3		91		COD0010
Journal	Gryseels B, Gigase PL	1985	The prevalence of intestinal parasites in two suburbs of Kinshasa (Zaire) and their relation to domestic water supplies	Trop Geogr Med		129-132	2		37		COD0011
Journal	Lengeler C, Makwala J, Ngimbi D, Utzinger J	2000	Simple school questionnaires can map both Schistosoma mansoni and Schistosoma haematobium in the Democratic republic of Congo	Acta Tropica		77-87			74		COD0012
Journal	Nundu Sabiti, S. Aloni, M. N. Linsuke, S. W. Ekila, M. B. Situakibanza, H. T. Polman, K. Lutumba, P. T.	2014	[Prevalence of geohelminth infections in children living in Kinshasa]	Arch Pediatr	""	579-83	6	""	21	""	COD0016
Journal	Junior R. Matangila , Joachim Yorokpa Doua, Sylvie Linsuke, Joule Madinga, Raquel Inocêncio da Luz, Jean-Pierre Van Geertruyden, Pascal Lutumba	2014	Malaria, schistosomiasis and soil transmitted helminth burden and their correlation with anemia in children attending primary schools in Kinshasa, Democratic Republic of Congo	PLoS One	""	""	11	""	9	""	COD0017
Journal	Bennike, T. Frandsen, F. Mandahl-Barth, G.	1976	[Bilharziasis in Kinshasa. Current data and future danger. Malacologic, biologic, clinical and epidemiologic studies]	Ann Soc Belg Med Trop	""	419-37	6	""	56	""	COD0019
Journal	Colaert, J. Lokombe, B. Fain, A. Vandepitte, J. Wery, M.	1977	[Presence of small native focus of bilharziasis with Schistosoma mansoni at Kinshasa (Republic of Zaire)]	Ann Soc Belg Med Trop	""	157-62	3	""	57	""	COD0020
Journal	Akouala JJ, Ngouono P, Nzoulani A	1989	Enquete sur la schistosomiase humaine dans le sud Congo ( region du Kouilo) RP. Congo	Afr Med		405-409	277		28		COG0001
Journal	Akouala JJ, Dorier E, Baya-Tsika N, Ngouono P, Otilibili P	1988	Le foyer de schistosomiase urinaire de Brazzaville: Epidemiologie et geographie des sites urbains de transmission	Bulletin de la Societe Francaise de Parasitologie		191-200	2		6		COG0002
Journal	Akouala JJ, Bourgarel B, Baya-Tsika N, Otilibili P, Ngouono P, Nzoulani A	1988	Brazzaville : Nouveau foyer urbain de schistosomiase urinaire en republique populaire du Congo	Afrique Medicals		91 - 98	260		27		COG0003
Journal	Akouala JJ, Ngouono P, Otilibili P, Simonkovitch E, Malonga JR, Samba F, Gouteux JP	1988	Study of a new focus of urinary schistosomiasis in the Pool region (People's Republic of Congo)	Med Trop (Mars)		215-219	3		48		COG0004
Report	Bambagha J, Marchesi BB	1983	Profil et propositions pour la deuxieme phase (1981-1982) du project de lutte contre la schistosomiase dans la vallee Du-Niari		Brazzaville					Ministry of Health	COG0005
Journal	Carme B	1984	Ancylostomiasis in Congo children among the population of Brazzaville	Bull Soc Pathol Exot Filiales		320-327	3		77		COG0006
Report	Lengeler C, Red Urine Study Group RUSG	1995	Identification of high risk communities for schistosomiasis in Africa: a multi-country study		Geneva					World Health Organization	COG0008
Journal	Hughes RG, Sharp DS, Hughes MC, Akau'ola S, Heinsbroek P, Velayudhan R, Schulz D, Palmer K, Cavalli-Sforza T, Galea G	2004	Environmental influences on helminthiasis and nutritional status among Pacific schoolchildren	Int J Environ Health Res		163-177	3		14		COK0001
Journal	Steel C and Ottesen EA	2001	Evolution of immunologic responsiveness of persons living in an area of endemic bancroftian filariasis: a 17-year follow-up	J Infect Dis		73-79	1		184		COK0002LF
Journal	Esterre P, Vigneron E and Roux J	2005	[The history of lymphatic filarlasis control programme in French Polynesia: lessons from a 50 years effort]	Bull Soc Pathol Exot		41-50	1		98		COK0003LF
Report	WHO	2007	WHO country report					World Health Organization		World Health Organization	COK0004LF
Journal	Giraldo-Gomez JM, Lora F, Henao LH, Mejia S, Gomez-Marin JE	2005	Prevalence of giardiasis and intestinal parasites in pre-school children from homes being attended as part of a state programme in Armenia, Colombia	Revista de Salud Publica		327-338	3		7		COL0002
Journal	Whary MT, Sundina N, Bravo LE, Correa P, Quinones F, Caro F, Fox JG	2005	Intestinal Helminthiasis in Colombian Children Promotes a Th2 Response to Helicobacter pylori: Possible Implications for Gastric Carcinogenesis	Cancer Epidemiol Biomarkers Prev		1464-1469	6		14		COL0003
Journal	Prod'hon J	1972	[Parasitological study of bancroftian filariasis in Anjouan]	Cahiers ORSTOM, ser Entomologie Medicale et Parasitologie		263-273	3		10		COM0001LF
Journal	Charafoudine H and Pesson B	1986	[Bancroft's filariasis in Anjouan (Comoro Islands)]	Bull Soc Pathol Exot Filiales		229-236	2		79		COM0002LF
Journal	Hernandez-Chavarria F, Matamoros-Madrigal MF	2005	Intestinal parasites in an Amerindian community: Costa Rica	Parasitologia Latinoamericana		182-185	3-4		60		CRI0001
Journal	Butts DCA	1947	Filarial Infection in Costa Rica	Am J Trop Med Hyg		607-615	5		s1-27		CRI0001LF
Journal	Weinstock H, Paniagua F, GarcŽs JL, Zœ–iga A, Granados C and Hern‡ndez E	1977	Bancroftian Filariasis in Puerto Lim—n, Costa Rica	Am J Trop Med Hyg		1148-1152	6		26		CRI0002LF
Journal	Paniagua F, GarcŽs JL, Granados C, Zœ–iga A, Ram’rez M and Jimenez L	1983	Prevalence of Bancroftian Filariasis in the City of Puerto Lim—n and the Province of Lim—n, Costa Rica	Am J Trop Med Hyg		1294-1297	6		32		CRI0003LF
Report	Addiss D and Chuke S	2002	Lymphatic filariasis in the Americas: an epidemiologic history							Centers for Disease Control and Prevention	CRI0004LF
Journal	Sahily de la Caridad OM, Reyes Rodrguez ID, Lpez MF, del R. Faras Delgado T	2009	Prevalencia del parasitismo intestinal en nios de la Escuela Especial Onolio Navarro								CUB0001
Report	Addiss D and Chuke S	2002	Lymphatic filariasis in the Americas: an epidemiologic history							Centers for Disease Control and Prevention	CUB0001LF
Journal	Castillo Nez B, Moreno MI, Prevost RS, çlvarez MJS	2002	"Prevalencia de parasitismo intestinal en la poblacin infantil perteneciente al policlnico ""4 de Agosto"" de Guantnamo"	MEDISAN 		46-52	1		6		CUB0002
Journal	Dueas Rosquete L, Adis Arencibia Daz A, Tomey Mndez O	2003	Intestinal parasitism in a Primary School of Ciego de Avila.	MediCiego, Revista de la Salud en Ciego de Avila 			Suppl. 1		9		CUB0003
Journal	Escobedo AA, Canete R, Nunez FA	2007	Intestinal protozoan and helminth infections in the Municipality San Juan y Martinez, Pinar del Rio, Cuba	Tropical Doctor		236-238	4		37		CUB0004
Journal	Garcia Urquijo A	2007	Diseo y aplicacion de un Programa Educativo sobre parasitismo intestinal en nios escolares de una comunidad rural	Revista Electronica de PortalesMedicoscom							CUB0005
Journal	Mayor Puerta AM, Snchez çlvarez ML, Prez Rodrguez N, Gmez Peralta C	2000	El laboratorio en la investigacion-accion de la comunidad, Centro Provincial de Higiene y Epidemiologa. Villa Clara 	Rev Cubana Hig Epidemiol 		17-23	1		38		CUB0006
Journal	Mendoza D, çngel Nez F, Escobedo A, Pelayo L, Fernndez M, Torres D, Cordov RA	2001	Parasitosis intestinales en 4 crculos infantiles de San Miguel del Padrn, Ciudad de La Habana, 1998 	Rev Cubana Med Trop		189-193	3		53		CUB0007
Journal	Oramas JL, A. PR, Finlay Villavilla CM, Sarracent Prez J	2008	Parasitismo intestinal en una cohorte de escolares en 2 municipios de Ciudad de La Habana	Revista Cubana de Medicina Tropical			3		60		CUB0008
Journal	Parra Alonso LE, Perera Hidalgo S, Serra Hernndez Y, Pino Bermdez A, Rodrguez Rodrguez L	2004	Prevalencia de Parasitismo Intestinal en Crculos Infantiles Ciudad de Holgun Mayo Noviembre 1995 - 1999.	Correo Cientfico Mdico de Holgun 			1		8		CUB0009
Journal	Prez Cueto MC, Snchez çlvarez ML, Cueto Montoya GA, Mayor Puerta AM, Fernndez Crdenas N, Alegret Rodrguez M	2007	Intervencin educativa y parasitismo intestinal en nios de la enseanza primaria	Rev Cubana Med Gen Integr 			2		23		CUB0010
Journal	Wordemann M, Polman K, Menocal Heredia LT, Junco Diaz R, Collado Madurga AM, Nunez Fernandez FA, Cordovi Prado RA, Ruiz Espinosa A, Pelayo Duran L, Bonet Gorbea M, et al	2006	Prevalence and risk factors of intestinal parasites in Cuban children	Tropical Medicine and International Health		1813-1820	12		11		CUB0011
Report	Addiss D and Chuke S	2002	Lymphatic filariasis in the Americas: an epidemiologic history							Centers for Disease Control and Prevention	DOM0001LF
Journal	Belkaid M, Hamrioui B, Chellali A, Tabet-Derraz O	1991	[Urinary bilharziasis in Djidiouia: still nothing to report]	Bull Soc Pathol Exot		281-282	3		84		DZA0001
Journal	Andrade C, Alava T, Palacio IAd, Poggio Pd, Jamoletti C, Gulletta M, Montresor A	2001	Prevalence and intensity of soil-transmitted helminthiasis in the city of Portoviejo (Ecuador)	Memorias do Instituto Oswaldo Cruz		1075-1079	8		96		ECU0001
Journal	Cooper PJ, Chico ME, Rodrigues LC, Ordonez M, Strachan D, Griffin GE, Nutman TB	2003	Reduced risk of atopy among school-age children infected with geohelminth parasites in a rural area of the tropics	Journal of Allergy and Clinical Immunology		995-1000	5		111		ECU0002
Journal	Cooper PJ, Chico ME, Gaus D, Griffin GE	2003	Relationship between Bacille Calmette-Guerin vaccination, Mantoux test positivity, and geohelminth infection	Transactions of the Royal Society of Tropical Medicine and Hygiene		473-476	4		97		ECU0003
Journal	Cooper PJ, Chico ME, Bland M, Griffin GE, Nutman TB	2003	Allergic symptoms, atopy, and geohelminth infections in a rural area of Ecuador	American Journal of Respiratory and Critical Care Medicine		313-317	3		168		ECU0004
Journal	Gallegos R, Brousselle C	1991	Intestinal parasitoses in the inhabitants of an archipelago in Ecuador	Bulletin de la Societe Francaise de Parasitologie		219-223	2		9		ECU0005
Journal	Jacobsen KH, Ribeiro PS, Quist BK, Rydbeck BV	2007	Prevalence of intestinal parasites in young Quichua children in the highlands of rural Ecuador	Journal of Health, Population and Nutrition		399-405	4		25		ECU0006
Journal	Quizhpe E, San Sebastian M, Hurtig AK, Llamas A	2003	Prevalence of anemia in schoolchildren in the Amazon area of Ecuador	Revista Panamericana de Salud Publica/Pan American Journal of Public Health		355-361	6		13		ECU0007
Journal	Rinne S, Rodas EJ, Galer-Unti R, Glickman N, Glickman LT	2005	Prevalence and risk factors for protozoan and nematode infections among children in an Ecuadorian highland community	Transactions of the Royal Society of Tropical Medicine and Hygiene		585-592	8		99		ECU0008
Journal	San Sebastian M, Santi S	2000	Control of intestinal helminths in schoolchildren in Low-Napo, Ecuador: impact of a two-year chemotherapy program	Revista da Sociedade Brasileira de Medicina Tropical		69-73	1		33		ECU0009
Journal	el-Sahly AM, Zakaria S, Ahmed L, Mabrouk MA, Thakeb F, Zakaria MS, Farrag AE, Goldsmith RS	1990	Intestinal helminthic and protozoal infections and urinary schistosomiasis in Egyptian children	J Egypt Soc Parasitol		9-21	1		20		EGY0001
Journal	Shawarby AA, Mahdi AH, Naguib AM and Moharram A	1965	Incidence of Filariasis in Egypt	J Egypt Public Health Assoc		267-282	4		40		EGY0001LF
Journal	Sabry AH	1991	Parasitic infection in Sennores primary school, El-Fayum Governorate, Egypt	J Egypt Soc Parasitol		571-574	2		21		EGY0002
Book	Sasa M	1976	Human filariasis. A global survey of epidemiology and control		Baltimore			University Park Press			EGY0002LF
Journal	Tosson, Morsy A, Farrag AM, Sabry AH, Salama MM, Arafa MA	1991	Ecto and endoparasites in two primary schools in Qualyob City, Egypt	J Egypt Soc Parasitol		391-401	2		21		EGY0003
Journal	Hassan SI	1994	Parasitic infections in primary and secondary schools in Giza Governorate, Egypt	J Egypt Soc Parasitol		597-601	3		24		EGY0004
Journal	Feinsod FM, Faris R, Gad A, el Said S, Soliman BA, Abd-el Azem IS and Saah AJ	1987	Clinical manifestations of Wuchereria bancrofti filariasis in an endemic village in the Nile Delta	Ann Soc Belg MŽd Trop		259-265	3		67		EGY0004LF
Journal	Younis TA, el-Sharkawy IM, Youssef FG	1997	Prevalence of intestinal parasites in filariasis endemic areas in Egypt	J Egypt Soc Parasitol		291-297	1		27		EGY0005
Journal	Faris R, Ramzy RM, Gad AM, Weil GJ and Buck AA	1993	Community diagnosis of Bancroftian filariasis	Trans R Soc Trop Med Hyg		659-661	6		87		EGY0005LF
Journal	Curtale F, Nabil M, El Wakeel A, Shamy MY, Team BS	1998	Anaemia and intestinal parasitic infections among school age children in Behera Governorate, Egypt	Journal of Tropical Pediatrics		323-328	6		44		EGY0006
Journal	Ramzy RM, Hafez ON, Gad AM, Faris R, Harb M, Buck AA and Weil GJ	1994	Efficient assessment of filariasis endemicity by screening for filarial antigenaemia in a sentinel population	Trans R Soc Trop Med Hyg		41-44	1		88		EGY0006LF
Journal	el-Shazly AM, el-Nahas HA, Soliman M, Sultan DM, Abedl Tawab AH, Morsy TA	2006	The reflection of control programs of parasitic diseases upon gastrointestinal helminthiasis in Dakahlia Governorate, Egypt	J Egypt Soc Parasitol		467-480	2		36		EGY0007
Journal	Weil GJ, Ramzy RM, El Setouhy M, Kandil AM, Ahmed ES and Faris R	1999	A longitudinal study of Bancroftian filariasis in the Nile Delta of Egypt: baseline data and one-year follow-up	Am J Trop Med Hyg		53-58	1		61		EGY0007LF
Journal	Abaza SM, el-Sayed HF, Rizkalla NH, Mehanna S, Winch PJ	1998	Rate of reinfection with S. mansoni following treatment in two newly reclaimed areas of Egypt	J Egypt Soc Parasitol		631-643	3		28		EGY0008
Journal	Ramzy RM, Helmy H, el-Lethy AS, Kandil AM, Ahmed ES, Weil GJ and Faris R	1999	Field evaluation of a rapid-format kit for the diagnosis of bancroftian filariasis in Egypt	East Mediterr Health J		880-887	5		5		EGY0008LF
Journal	Abo-Madyan AA, Morsy TA, Motawea SM	2004	Efficacy of Myrrh in the treatment of schistosomiasis (haematobium and mansoni) in Ezbet El-Bakly, Tamyia Center, El-Fayoum Governorate, Egypt	J Egypt Soc Parasitol		423-446	2		34		EGY0009
Journal	Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ	2006	Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment	Lancet		992-999	9515		367		EGY0010LF
Journal	Barakat R, El Morshedy H	2011	Efficacy of two praziquantel treatments among primary school children in an area of high Schistosoma mansoni endemicity, Nile Delta, Egypt	Parasitology		440-446	4		138		EGY0011
Journal	Atta A, Atia MM and Mostafa AM	1984	Prevalence of microfilaria versus intradermal test in El-Koren, Sharkia G., Egypt	J Egypt Soc Parasitol		251-257	1		14		EGY0011LF
Journal	Botros S, Sayed H, El-Dusoki H, Sabry H, Rabie I, El-Ghannam M, Hassanein M, El-Wahab YA, Engels D	2005	Efficacy of mirazid in comparison with praziquantel in Egyptian Schistosoma mansoni-infected school children and households	Am J Trop Med Hyg		119-123	2		72		EGY0012
Journal	el Badawy AA, el Moghazy MA, Koura SK, Ragab HM, Sherif NA	1996	Schistosomiasis status in urban Sharkia Governorate, Egypt: prevalence and intensity of infection	J Egypt Soc Parasitol		733-742	3		26		EGY0013
Journal	El-Khoby T, Galal N, Fenwick A, Barakat R, El-Hawey A, Nooman Z, Habib M, Abdel-Wahab F, Gabr NS, Hammam HM, et al	2000	The epidemiology of schistosomiasis in Egypt: summary findings in nine governorates	Am J Trop Med Hyg		88-99	2 Suppl		62		EGY0014
Journal	Fawzy AF, Abdalla HF, Oteifa NM, Abdel Maksoud MK	1996	Prevalence of Schistosomiasis and dynamics of its distribution in some villages in Qalyoubia Governorate	J Egypt Soc Parasitol		131-142	1		26		EGY0015
Journal	Talaat M, El-Ayyat A, Sayed HA, Miller FD	1999	Emergence of Schistosoma mansoni infection in upper Egypt: the Giza governorate	Am J Trop Med Hyg		822-826	5		60		EGY0016
Journal	Faraq MK, Handoussa AE, El-Shazly AM, Salama MM, Morsy TA	1997	Prevalence and intensity of schistosomiasis haematobium among school children in respect of family social conditions in a village in Dakahlia Governorate, Egypt.	Jounal of the Egyptian Society of Parasitology		101-111	1		27		EGY0017
Report	Khedr	2003	Epidemiology of schistosomiasis in bedouins of Sinai, Egypt, after the introduction of Nile water.								EGY0018
Journal	Mahasen MA, Sayeda AM	1995	 Epidemiology and determinants of S. mansoni infection in Ezbet Sidi Salih, Menufyia governorate. 	Egyptian Journal of Bilharziasis		13-25	0		17		EGY0019
Report	Abou-Basha	2003	Resistance of Schistosoma mansoni Egyptian strain to praziquantel: a field study.								EGY0020
Journal	Zaki A, Bassili A, Amin G, Aref T, Kandil M, Abou Basha LM	2003	Morbidity of schistosomiasis mansoni in rural Alexandria, Egypt	J Egypt Soc Parasitol		695-710	3		33		EGY0021
Personal Communication	Partnership for Child Development	2002	Schistosoma mansoni prevalence in the Bata, Barrio de California and Akalayong-Akurenam communities, Equatorial Guinea 		Asmara					Ministry of Education of Eritrea	ERI0001
Journal	Afework M, T. D, L. J, S. T	1985	Ancylostoma duodenale and Necator americanus in the Abay (Blue Nile) Gorge.	Ethiopian Medical Journal		135-136	3		23		ETH0001
Journal	McConnel E and Schmidt ML	1973	Bancroftian filariasis in Gambela, Illubabor Province, Ethiopia	Trop Geogr Med		300-303	3		25		ETH0001LF
Journal	Ali A, Lo CT, Ayele T	1986	Schistosoma haematobium in Western Ethiopia.	Ethiopian Medical Journal		73-78	2		24		ETH0002
Journal	Ali I, Mekete G, Wodajo N	1999	Intestinal parasitism and related risk factors among students of Asendabo Elementary  and Junior Secondary school,South Western Ethiopia	Ethip JHealth Dev		157-161	2		13		ETH0003
Journal	Dennis DT, McConnell E and White GB	1976	Bancroftian filariasis and membrane filters: are night surveys necessary?	Am J Trop Med Hyg		257-262	2		25		ETH0003LF
Journal	Asfaw ST, Goitom L	2000	Malnutrition and enteric parasitoses among under-five children in Aynalem Village,Tigray	Ethiop J Health Dev		67-75	1		14		ETH0004
Journal	Desta K, Ashine M and Davey G	2007	Predictive value of clinical assessment of patients with podoconiosis in an endemic community setting	Trans R Soc Trop Med Hyg		621-623	6		101		ETH0004LF
Journal	Assefa T, Tilahun W, Dejene A	1998	Intestinal parasitism among students in three localities in south Wello, Ethiopia	Ethip JHealth Dev		231-235	3		12		ETH0006
Journal	Ayele B, Erko B, Legesse M, Hailu A, Medhin G	2008	Evaluation of circulating cathodic antigen (CCA) strip for diagnosis of urinary schistosomiasis in Hassoba school children, Afar, Ethiopia.	Parasite		69-75	1		15		ETH0007
Journal	BaDe G, Jira C, Mala T, Camm H	1994	Intestinal parasitism among Jiren Elementary and Junior Secondary School students in South-western Ethiopia	The Ethiopian Journal of Health Development			1		8		ETH0008
Journal	Berhe N, Myrvang B, Gundersen S	2007	Intensity of Schistosoma mansoni, hepatitis B, age, and sex predict levels of hepatic periportal thickening/fibrosis (PPT/F): a large-scale community-based study in Ethiopia.	The American Journal of Tropical Medicine and Hygiene		1079-1086	6		77		ETH0010
Journal	Berhe N, Medhin G, Erko B, Smith T, Gedamu S, Bereded D, Moore R, Habte E, Redda A, Gebre-Michael T, Gundersen SG	2004	Variations in helminth faecal egg counts in Kato-Katz thick smears and their implications in assessing infection status with Schistosoma mansoni.	Acta Tropica		205-212	3		92		ETH0011
